PRD_ID,PRD_KEY,PRD_NM,PRD_COST,PRD_LINE,PRD_START_DT,PRD_END_DT
210,CO-RF-FR-R92B-58,HL Road Frame - Black- 58,,R ,2003-07-01 00:00:00.000,
211,CO-RF-FR-R92R-58,HL Road Frame - Red- 58,,R ,2003-07-01 00:00:00.000,
212,AC-HE-HL-U509-R,Sport-100 Helmet- Red,12,S ,2011-07-01 00:00:00.000,2007-12-28 00:00:00.000
213,AC-HE-HL-U509-R,Sport-100 Helmet- Red,14,S ,2012-07-01 00:00:00.000,2008-12-27 00:00:00.000
214,AC-HE-HL-U509-R,Sport-100 Helmet- Red,13,S ,2013-07-01 00:00:00.000,
215,AC-HE-HL-U509,Sport-100 Helmet- Black,12,S ,2011-07-01 00:00:00.000,2007-12-28 00:00:00.000
216,AC-HE-HL-U509,Sport-100 Helmet- Black,14,S ,2012-07-01 00:00:00.000,2008-12-27 00:00:00.000
217,AC-HE-HL-U509,Sport-100 Helmet- Black,13,S ,2013-07-01 00:00:00.000,
218,CL-SO-SO-B909-M,Mountain Bike Socks- M,3,M ,2011-07-01 00:00:00.000,2007-12-28 00:00:00.000
219,CL-SO-SO-B909-L,Mountain Bike Socks- L,3,M ,2011-07-01 00:00:00.000,2007-12-28 00:00:00.000
220,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,12,S ,2011-07-01 00:00:00.000,2007-12-28 00:00:00.000
221,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,14,S ,2012-07-01 00:00:00.000,2008-12-27 00:00:00.000
222,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,13,S ,2013-07-01 00:00:00.000,
223,CL-CA-CA-1098,AWC Logo Cap,6,S ,2011-07-01 00:00:00.000,2007-12-28 00:00:00.000
224,CL-CA-CA-1098,AWC Logo Cap,5,S ,2012-07-01 00:00:00.000,2008-12-27 00:00:00.000
225,CL-CA-CA-1098,AWC Logo Cap,7,S ,2013-07-01 00:00:00.000,
226,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,32,S ,2011-07-01 00:00:00.000,2007-12-28 00:00:00.000
227,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,29,S ,2012-07-01 00:00:00.000,2008-12-27 00:00:00.000
228,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,38,S ,2013-07-01 00:00:00.000,
229,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,32,S ,2011-07-01 00:00:00.000,2007-12-28 00:00:00.000
230,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,29,S ,2012-07-01 00:00:00.000,2008-12-27 00:00:00.000
231,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,38,S ,2013-07-01 00:00:00.000,
232,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,32,S ,2011-07-01 00:00:00.000,2007-12-28 00:00:00.000
233,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,29,S ,2012-07-01 00:00:00.000,2008-12-27 00:00:00.000
234,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,38,S ,2013-07-01 00:00:00.000,
235,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,32,S ,2011-07-01 00:00:00.000,2007-12-28 00:00:00.000
236,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,29,S ,2012-07-01 00:00:00.000,2008-12-27 00:00:00.000
237,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,38,S ,2013-07-01 00:00:00.000,
